"","ABBA","ACRU","BEPA","ACSA","THOC","FAGR","ACPE","Picea","TSCA","POGR","BEAL","POTR","QURU","FRNI","PIST","POBA","LALA"
"393",0,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"394",0,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"395",0,15,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"396",0,11,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0
"397",4,2,1,0,26,0,0,2,0,0,0,0,0,0,1,0,0
"398",0,6,11,0,21,0,0,0,0,1,0,0,0,0,0,0,0
"399",1,7,7,0,11,0,0,0,0,0,0,0,0,0,1,0,0
"400",6,9,9,0,8,1,0,4,0,0,0,0,0,0,0,0,0
"401",4,5,7,0,3,0,1,0,0,0,0,1,0,0,1,0,0
"402",5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403",2,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"404",0,3,7,0,1,0,0,0,0,7,0,0,0,0,0,0,0
"405",8,7,2,0,0,0,1,1,0,2,0,0,0,0,2,0,0
"406",7,7,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"407",0,12,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"408",0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"409",1,6,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"410",0,1,11,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"411",0,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"412",1,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"413",2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"414",0,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"415",0,4,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"416",0,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"417",0,6,6,2,0,0,2,0,0,0,1,0,0,0,0,0,0
"418",0,0,6,0,25,0,0,1,0,0,0,0,0,0,1,0,0
"419",12,0,11,0,15,0,0,0,0,0,0,0,0,0,2,0,0
"420",1,0,5,0,11,0,0,5,0,0,0,0,0,0,5,0,0
"421",4,8,4,0,3,0,0,1,0,0,0,0,0,0,2,0,0
"422",2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"423",1,5,3,0,0,0,4,0,0,2,0,0,0,0,0,0,0
"424",2,3,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"425",9,3,6,0,4,0,2,0,0,5,0,0,1,0,0,0,0
"426",5,6,14,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"427",1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
